SKU	Product Area	Rule Name	Rule ID	Config Reference	Description	Cursor Generated Description	Code Reference	Current Feature ID	Current Feature Name	Action	New Feature Alignment	Updates to rule logic
Talent Acquisition - Core	Talent Acquisition - Core	Email Configuration Enabled	email_config_enabled_cs	integrations/email_config → reply_to_domain / send_from_domain	Ensures 'reply_to_domain' and 'send_from_domain' are complete and valid.	**Purpose:** Validates that email configuration exists with valid send_from_domain and reply_to_domain settings for candidate communications.<br><br>**Impact:** Without email configuration, recruiters cannot send emails to candidates from the platform.<br><br>**To Fix:** Navigate to Admin Console → Provisioning → Email & SMS Configuration. Configure send_from_domain and reply_to_domain with verified domains.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Candidate Engagement with Email	Update	Candidate Engagement with Email	Instead of checking if the email_config has object or not, we should check for 'reply_to_domain' and 'send_from_domain'
Talent Acquisition - Core	Talent Acquisition - Core	The user has permission to send messages but does not have a communication email set	recruiter_missing_communication_email	User Management → users with PERM_SEND_MESSAGES / communication_email	The rule checks for users with send email permission who do not have a communication email set.	**Purpose:** Identifies users with send_messages permission who don't have a communication email configured.<br><br>**Impact:** Users without communication email cannot send messages to candidates, blocking engagement.<br><br>**To Fix:** Navigate to Admin Console → Provisioning → Manage Users. Add communication_email for all users with PERM_SEND_MESSAGES.	www/data_audit/platform_health/data_health/product_data_health_evaluation_rules.py	ta_operations	TA Operations	Update	Candidate Engagement with Email	Phase 1 - Description
Talent Acquisition - Core	Talent Acquisition - Core	SMS Integration Configured	sms_integration_enabled_cs	integrations/email_config → sms_twilio_account_sid / sms_twilio_auth_token	Ensures that SMS integration is enabled with valid provider configuration (Twilio, etc.). SMS provider credentials and phone number must be configured.	**Purpose:** Validates that SMS integration is configured with Twilio credentials for candidate text messaging.<br><br>**Impact:** Without SMS configuration, recruiters cannot send text messages to candidates.<br><br>**To Fix:** Navigate to Admin Console → Provisioning → Email & SMS Config. Configure Twilio account SID, auth token, and phone number.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Candidate Engagement with SMS	New/Add	Candidate Engagement with SMS	
Talent Acquisition - Core	Talent Acquisition - Core	Communication channels	communication_channels	scheduling_config → communication_channels (sms, whatsapp)	Verifies that communication channels (sms, whatsapp) are configured for interview scheduling.	**Purpose:** Validates that communication channels (SMS, WhatsApp) are configured for interview scheduling notifications.<br><br>**Impact:** Missing channels limit notification options if candidates prefer non-email communication.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Scheduling. Enable SMS and WhatsApp channels as needed.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	smart_scheduling	Scheduling	Update	Candidate Engagement with SMS	Rule needs to take into account customers that have NOT enabled other communication channels (SMS or Whatsapp). Phase 1 - feature alignment Phase 2 - rule logic update
Talent Acquisition - Core	Talent Acquisition - Core	WhatsApp Integration Configured	whatsapp_integration_enabled_cs	integrations/email_config → whatsapp_twilio_account_sid / whatsapp_twilio_auth_token / whatsapp_twilio_messaging_service_id	Ensures that WhatsApp Business API integration is configured with provider credentials and phone number.	**Purpose:** Validates that WhatsApp Business API integration is configured for candidate messaging via WhatsApp.<br><br>**Impact:** Without WhatsApp configuration, recruiters cannot communicate with candidates via WhatsApp, which is preferred in many regions.<br><br>**To Fix:** Navigate to Admin Console → Provisioning → Email & SMS Config. Configure WhatsApp Twilio account SID, auth token, and messaging service ID.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Candidate Engagement with WhatsApp	New/Add	Candidate Engagement with WhatsApp	Check for whatsapp_twilio_account_sid, whatsapp_twilio_auth_token, whatsapp_twilio_messaging_service_id
Talent Acquisition - Core	Talent Acquisition - Core	All job req templates should be present in template_to_stage_transition_map	all_job_req_templates_in_stage_transition_map	ats_config → workflow_template_to_stage_transition_map	Validates that all job requisition template IDs are included in the stage transition map.	**Purpose:** Validates that all job requisition template IDs are included in the stage transition map, ensuring stage advances work across all position types.<br><br>**Impact:** Missing templates cause stage advance failures, preventing candidates from progressing in the pipeline.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Workflows. Ensure all job_req_template_ids are in template_to_stage_transition_map.	www/data_audit/platform_health/config_health/ats_config_health_configurable_rules.py	pipeline_and_workflows	Pipeline/ Workflows	Delete	Candidate Pipeline	
Talent Acquisition - Core	Talent Acquisition - Core	Leads workflow	leads_workflow	workflow_config → leads_workflow	This rule verifies the presence of the Leads Workflow tab in the pipeline page.	**Purpose:** Validates that the Leads Workflow tab is configured on the pipeline page, providing access to sourced/matched candidates.<br><br>**Impact:** Missing Leads tab prevents recruiters from accessing the candidate sourcing workflow.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Pipeline & Workflows. Enable leads tab in workflow_config.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	pipeline_and_workflows	Pipeline/ Workflows	Update	Candidate Pipeline	Phase 1 - Description
Talent Acquisition - Core	Talent Acquisition - Core	Applicants workflow	applicants_workflow	workflow_config → applicants_workflow	This rule verifies the presence of the Applicant Workflow tab on the pipeline page.	**Purpose:** Validates that the Applicants Workflow tab is configured on the pipeline page for viewing applied candidates.<br><br>**Impact:** Missing Applicants tab prevents recruiters from viewing and managing job applicants.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Pipeline & Workflows. Enable applicants tab in workflow_config.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	pipeline_and_workflows	Pipeline/ Workflows	Update	Candidate Pipeline	With this rule, would it be possible to run a report on against the current configuration to identify the base requirements (ie Contacted, Applicants flows are missing) Phase 1 - Description
Talent Acquisition - Core	Talent Acquisition - Core	Successful Application Stage Advances Per Job Req Template	application_stage_advances_per_job_req_template_rule	Operational metrics → stage advance success rate (90% target)	Every job req template should have at least a 90% success rate with stage advances.	**Purpose:** Measures the success rate of stage advances per job requisition template. Target: 90%+ success rate.<br><br>**Impact:** Low success rate indicates stage transition map issues causing ATS sync failures.<br><br>**To Fix:** Review stage transition map for failing templates. Verify stage mapping to ATS. Check ATS API connectivity.	www/data_audit/platform_health/operational_health/operational_health_evaluation_rules.py	ta_operations	TA Operations	Update	Candidate Pipeline	Phase 1 - Description
Talent Acquisition - Core	Talent Acquisition - Core	Profile Sections Defined	profile_sections_defined_cs	integrations/profile_display_config → sections (overview, experience, education, skills)	Ensures that key profile sections are defined and enabled. At minimum, overview section should be present.	**Purpose:** Validates that key profile sections are enabled for displaying candidate information to recruiters (Overview, Experience, Education, Skills).<br><br>**Impact:** Missing sections prevent recruiters from viewing important candidate information.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Profile Display Config. Enable required sections.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Candidate Profile	New/Add	Candidate Profile	
Talent Acquisition - Core	Talent Acquisition - Core	Copilot Capabilities Configured	copilot_capabilities_configured_cs	integrations/copilot_capability_config → capabilities	Ensures that specific Copilot capabilities (job description generation, scheduling assistance, etc.) are enabled in capability configuration.	**Purpose:** Validates that specific Copilot capabilities are enabled (e.g., job description generation, scheduling assistant).<br><br>**Impact:** Without capability configuration, Copilot is enabled but has no functional features.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Copilot Capability Config. Enable desired capabilities.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Copilot	New/Add	Copilot	
Talent Acquisition - Core	Talent Acquisition - Core	Copilot Feature Enabled	copilot_feature_enabled_cs	integrations/copilot_config → enabled	Ensures that Copilot feature is enabled in configuration. Copilot must be explicitly enabled before use.	**Purpose:** Validates that Copilot AI features are enabled for recruiters and hiring managers.<br><br>**Impact:** Without Copilot, AI-powered features like job description generation are unavailable.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Copilot Config. Set enabled: true.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Copilot	New/Add	Copilot	
Talent Acquisition - Core	Talent Acquisition - Core	Diversity Configuration Enabled	diversity_config_enabled_cs	integrations/diversity_config	Ensures that diversity configuration object exists. This config controls bias reduction features like profile masking.	**Purpose:** Validates that diversity configuration exists, which is required for enabling profile masking and bias reduction features.<br><br>**Impact:** Without configuration, diversity and bias reduction features cannot be activated.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Diversity Config. Initialize configuration and enable desired features.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Diversity Capabilities	New/Add	Diversity Capabilities	
Talent Acquisition - Core	Talent Acquisition - Core	Masking Fields Configured	masking_fields_configured_cs	integrations/diversity_config → masking_config → masked_fields	Ensures that if profile masking is enabled, specific fields are configured to be masked (age, gender, ethnicity, etc.).	**Purpose:** Validates that when profile masking is enabled, specific fields are configured for masking (e.g., name, age, gender, photos).<br><br>**Impact:** Masking enabled without field specification means no fields are actually hidden, defeating the purpose.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Diversity Config → Masking. Specify fields to mask in masking_config.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Diversity Capabilities	New/Add	Diversity Capabilities	
Talent Acquisition - Core	Talent Acquisition - Core	Candidate Anonymization Rules	candidate_anonymization_rules_cs	integrations/diversity_config → anonymization_rules	Ensures that anonymization rules are correctly configured to automatically anonymize candidate profiles based on defined criteria.	**Purpose:** Validates that anonymization rules are defined with specific criteria for removing identifying information from candidate profiles during bias-conscious workflows.<br><br>**Impact:** Without clear anonymization rules, profile masking may not adequately remove identifying information, defeating the purpose.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Diversity Config → Anonymization. Configure rules for each masked field with clear criteria.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Diversity Capabilities	New/Add	Diversity Capabilities	
Talent Acquisition - Core	Talent Acquisition - Core	Global Search Configuration Enabled	global_search_enabled_cs	integrations/global_search_config → enabled	Ensures that global search feature is enabled in configuration, allowing recruiters to search across the talent network.	**Purpose:** Validates that global search is enabled for recruiters to search across the entire talent network.<br><br>**Impact:** Without global search, recruiters cannot effectively find candidates across all sources.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Global Search Config. Set enabled: true.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Global Search	New/Add	Global Search	
Talent Acquisition - Core	Talent Acquisition - Core	Search Filters Configured	search_filters_configured_cs	integrations/global_search_config → filters (skills, location, experience, contact_consent)	Ensures that search filters are configured, allowing recruiters to refine searches by location, skills, experience, contact_consent etc.	**Purpose:** Validates that search filters are configured for global talent search (skills, location, experience, etc.).<br><br>**Impact:** Without filters, recruiters cannot effectively narrow down candidate search results.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Global Search Config. Configure filters for skills, location, experience, contact consent.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Global Search	New/Add	Global Search	This should be kept added contact_consent to description. Phase 1 - Description
Talent Acquisition - Core	Talent Acquisition - Core	Feedback report	feedback_report	interview_feedback_config → report_columns	Defines the columns, display names, fields, formatting, and widths for the consolidated feedback report.	**Purpose:** Validates that feedback report columns are configured for consolidated interview feedback viewing.<br><br>**Impact:** Misconfigured reports affect how recruiters and hiring managers review interview feedback.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Interview Feedback. Configure report columns and formatting.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	interview_feedback	Interview feedback	Keep as is	Interview Feedback	
Talent Acquisition - Core	Talent Acquisition - Core	Dashboard columns list	dashboard_columns_list	interview_feedback_config → dashboard_columns_list	Configures the list of columns displayed on the feedback dashboard to provide relevant and actionable information to users.	**Purpose:** Validates that feedback dashboard columns are configured for the Interview Feedback Center.<br><br>**Impact:** Missing columns reduce dashboard usefulness for managing feedback across interviews.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Interview Feedback. Configure dashboard_columns_list.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	interview_feedback	Interview feedback	Keep as is	Interview Feedback	
Talent Acquisition - Core	Talent Acquisition - Core	Feedback Forms Configured	feedback_forms_configured_cs	integrations/interview_feedback_config → forms	Ensures that feedback form templates are configured. Forms define the structure and questions for interview feedback.	**Purpose:** Validates that at least one interview feedback form template exists with questions for interviewers to provide structured feedback.<br><br>**Impact:** Without form templates, interviewers cannot submit structured feedback through the platform.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Interview Feedback. Create at least one feedback form template with rating scales and open-ended questions.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Interview Feedback	New/Add	Interview Feedback	
Talent Acquisition - Core	Talent Acquisition - Core	Interview Feedback Configuration Enabled	feedback_config_enabled_cs	integrations/interview_feedback_config → enabled	Ensures that interview feedback feature is configured and enabled, allowing interviewers to submit structured feedback.	**Purpose:** Validates that interview feedback feature is enabled for collecting structured interviewer feedback.<br><br>**Impact:** Without enablement, interview feedback cannot be collected through the platform.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Interview Feedback Config. Set enabled: true.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Interview Feedback	New/Add	Interview Feedback	
Talent Acquisition - Core	Talent Acquisition - Core	Timezone	scheduling_timezone	scheduling_config → timezone	Ensures a default interview timezone is configured for scenarios where user-defined or calendar-specific timezones are unavailable.	**Purpose:** Validates that a default timezone is configured for interview scheduling to prevent time confusion.<br><br>**Impact:** Missing timezone can cause scheduling errors and incorrect time display.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Scheduling. Set default timezone.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	smart_scheduling	Scheduling	Update	Smart Scheduling	
Talent Acquisition - Core	Talent Acquisition - Core	Schedule action	standard_schedule_action	workflow_config → schedule_action	Ensures the scheduling action is enabled on the profile or pipeline page, allowing recruiters to initiate interview scheduling directly.	**Purpose:** Validates that the scheduling action button is enabled on pipeline and profile pages.<br><br>**Impact:** Without the action, recruiters cannot initiate interview scheduling from the candidate context.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Scheduling. Enable schedule action in pipeline configuration.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	smart_scheduling	Scheduling	Update	Smart Scheduling	
Talent Acquisition - Core	Talent Acquisition - Core	Scheduling Integration Configured	scheduling_integration_configured_cs	integrations/scheduling_config → calendarProvider / branding / preferences	Ensures that calendar integration is configured with provider credentials. Integration is required for checking availability and creating calendar events.	**Purpose:** Validates that calendar integration is configured for interview scheduling, enabling automatic availability checking and calendar event creation.<br><br>**Impact:** Without calendar integration, interviewers cannot have their availability checked automatically.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Scheduling Config. Select calendar provider (Google/Microsoft) and complete OAuth configuration.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Smart Scheduling	New/Add	Smart Scheduling	Calendar integration doesnt require any specific setup with regards to Provider credentials. Global Rules should include checks on Branding Config, Company Name, Calendar Provider, Availability, Preferences
Talent Acquisition - Core	Talent Acquisition - Core	Scheduling Center Filter Configuration	scheduling_center_filter_config_cs	scheduling_config → scheduling_center_filters → facet_limit	Ensures that filters in the Scheduling Center (hiring manager, location, etc.) have appropriate facet limits and autocomplete configurations.	**Purpose:** Validates that scheduling center filters have appropriate maximum values (facet_limit) to prevent overwhelming filter options.<br><br>**Impact:** Without limits, filters may show too many options, making the interface difficult to use.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Scheduling Config → Filters. Set appropriate facet_limit values for each filter.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Smart Scheduling	New/Add	Smart Scheduling	For this functionality, EF has default configuration that most customers are happy with
Talent Acquisition - Core	Talent Acquisition - Core	Scheduling Templates Configured	scheduling_templates_exist_cs	integrations/scheduling_config → templates	Ensures that scheduling templates are configured, defining interview types, durations, and participant roles.	**Purpose:** Validates that at least one scheduling template exists defining interview structure (type, duration, participants).<br><br>**Impact:** Without templates, interviews cannot be scheduled as there's no defined structure.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Scheduling Templates. Create templates with duration, interview type, and participant roles.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Smart Scheduling	New/Add	Smart Scheduling	
Talent Acquisition - Core	Talent Acquisition - Core	Scheduling Template Permissions	scheduling_template_permissions_cs	scheduling_config → template_permissions	Ensures that role permissions for scheduling templates are correctly configured.	**Purpose:** Validates that job requisition template permissions are properly configured, controlling who can use which templates.<br><br>**Impact:** Incorrect permissions may prevent users from creating requisitions or allow unauthorized template access.<br><br>**To Fix:** Review template permissions. Ensure appropriate users/roles have access to relevant templates.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Smart Scheduling	New/Add	Smart Scheduling	
Talent Acquisition - Core	Talent Acquisition - Core	Scheduling Configuration Enabled	scheduling_config_enabled_cs	integrations/scheduling_config → enabled	Ensures that smart scheduling feature is configured and enabled, allowing automated interview scheduling.	**Purpose:** Validates that smart scheduling feature is enabled for interview scheduling functionality.<br><br>**Impact:** Without enablement, interview scheduling features are completely unavailable.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Scheduling Config. Set enabled: true.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Smart Scheduling	New/Add	Smart Scheduling	
Talent Acquisition - Core	Talent Acquisition - Core	Calendar Provider	enabled_for_scheduling	scheduling_config → calendarProvider (google_calendar / microsoft_outlook_365)	Ensures a calendar provider (e.g., Google Calendar, Microsoft Outlook 365) is configured to enable seamless interview scheduling.	**Purpose:** Validates that a calendar provider is configured for interview scheduling integration.<br><br>**Impact:** Without calendar provider, interviews cannot be synchronized with calendars.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Scheduling. Configure calendarProvider (Google Calendar, Microsoft 365).	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	smart_scheduling	Scheduling	Update	Smart Scheduling	
Talent Acquisition - Core	Talent Acquisition - Core	Workflow Automation Configuration Enabled	workflow_automation_enabled_cs	integrations/workflow_automation_config → enabled	Ensures that workflow automation feature is configured and enabled, allowing creation of automated candidate workflows.	**Purpose:** Validates that workflow automation feature is enabled for creating automated candidate workflows.<br><br>**Impact:** Without enablement, automated workflows cannot be created or executed.<br><br>**To Fix:** Navigate to Admin Console → Talent Acquisition → Workflow Automation Config. Set enabled: true.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Workflow Automation	New/Add	Workflow Automation	
Talent Acquisition - Core	Talent Acquisition - Core	Workflow Triggers Configured	workflow_triggers_valid_cs	workflows → triggers (event_type, conditions)	Ensures that at least one workflow trigger is configured. Triggers define when workflows execute (stage change, application, etc.).	**Purpose:** Validates that at least one workflow trigger is configured with valid events and conditions for automation.<br><br>**Impact:** Without triggers, automated workflows cannot execute as there's no defined trigger condition.<br><br>**To Fix:** Navigate to Admin Console → Workflows. Configure at least one trigger with event type (stage change, application, etc.) and conditions.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	New/Add	Workflow Automation	New/Add	Workflow Automation	
Talent Acquisition - Core	Talent Acquisition - Core	Communities disabled text	extension_communities_disabled_text	extension_config → communities_disabled_text	Configures a clear and actionable message displayed when the Communities feature is disabled.	**Purpose:** Validates that a clear message is configured when Communities feature is disabled in the Chrome Extension.<br><br>**Impact:** Without clear messaging, extension users may be confused about feature unavailability.<br><br>**To Fix:** Configure descriptive disabled text explaining why Communities is unavailable and how to enable.	www/data_audit/platform_health/config_health/product_config_health_configurable_rules.py	chrome_extension	Chrome Extension	Keep as is	Chrome Extension	
