SKU	Product Area	Rule Name	Rule ID	Config Reference	Description	Cursor Generate Description	Current Feature ID	Current Feature Name	Action to be taken	New Feature Alignment	Updates to rule logic (If needed)
Talent Intelligence Platform	AI	More than {{ metric_data_json.min_threshold }}% internal positions must be calibrated	internal_positions_calibrated_rule	Position calibration / calibration_config	Ensure that all open positions are calibrated to allow candidates/employees to receive relevant job recommendations <br><br><h5> Impact of failure</h5>. Missing calbiration may lead to job recommendations that are not aligned with an candidate / employee's experience and background reducing relevance and quality of Matches		internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% internal positions must have a location	internal_positions_with_location_rule	Position Sync (ATS) → position.location	Ensure that all open positions have a location assigned to allow employees to receive relevant job recommendations based on geographic preferences. <br><br><h5> Impact of failure</h5>. Missing location data may lead to job recommendations that are not aligned with an employee's preferred or eligible locations, reducing relevance and quality of Matches		internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% internal positions must have skills	internal_positions_with_skills_rule	Position calibration → skills / AI inference	Ensure that positions have at least one skill assigned to support relevant job recommendations based on employee skill sets. <br><br><h5> Impact of failure</h5>. Without any skills assigned, the system cannot accurately match employees to roles, resulting in low-quality or irrelevant recommendations.		internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% internal positions must have more than 3 skills	internal_positions_with_multiple_skills_rule	#N/A	Ensure that all open positions have atleast 3 skills assigned to enable more precise and high-quality job recommendations. <br><br><h5> Impact of failure</h5>. Inadequate skill tagging can reduce the accuracy of recommendations and hinder the system's ability to distinguish between relevant and irrelevant  matches.		internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% internal positions must have job bands that are defined in internal job posting (IJP) config	internal_positions_with_job_band_rule	#N/A	Ensure that positions have a job band assigned to enable relevant job recommendations based on seniority alignment. <br><br><h5> Impact of failure</h5>. Missing job band data can result in mismatches between job seniority and employee experience, reducing recommendation effectiveness.		internal_mobility_recommendations	Internal Mobility Recommendations	Keep as is	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% claimed employee profiles must have level defined in ijp_config	claimed_employee_profiles_with_levels	Employee Sync (HRIS) → employee.level	Ensure that employee profiles have a job level assigned to enable job recommendations aligned with the employee's seniority. <br><br><h5> Impact of failure</h5>. Recommendations may be too junior or senior for the employee's current position, reducing their usefulness and relevance. Additionally missing job level information prevents the system from aligning employees with mentors at the appropriate seniority level, leading to mismatches and reduced mentoring impact.		internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% claimed employee profiles must have skills	claimed_employee_profiles_with_skills	Employee profile → skills	Ensure that employee profiles include skills to support relevant job/course recommendations based on capabilities and expertise. <br><br><h5> Impact of failure</h5>. Absence of skill data can lead to generic or irrelevant recommendations that don't reflect the employee's abilities.		internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% projects must have more than 3 skills	projects_with_multiple_skills_rule	Project definition → skills	Ensure that projects have atleast 3 relevant skills assigned to enable accurate and high-quality employee matches. <br><br><h5> Impact of failure</h5>. Limited skill data on projects can reduce matching precision, leading to inefficient resource allocation.		project_lead_recommendations	Project Lead Recommendations	Update	Project Lead Recommendations	specific about the number of skills
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% projects must have ideal candidates	projects_with_ideal_candidates_rule	Project calibration → ideal_candidates	Ensure that projects have at least three ideal candidate assigned to improve the quality of employee matching. <br><br><h5> Impact of failure</h5>. Without an ideal candidate reference, matching may not reflect actual expectations for the role.		project_lead_recommendations	Project Lead Recommendations	Update	Project Lead Recommendations	logic update: Instead of one ideal candidate make it three
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% projects must have location	projects_with_location_rule	Project definition → location	Ensure that projects have a location assigned to support relevant employee matches based on geography. <br><br><h5> Impact of failure</h5>. Employees may be recommended for projects in unsuitable locations, impacting assignment success.		project_lead_recommendations	Project Lead Recommendations	Keep as is	Project Lead Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% projects must have more than 3 skills	projects_with_multiple_skills_rule	Project definition → skills	Ensure that projects have more than three skills assigned to support high-quality and precise employee matching. <br><br><h5> Impact of failure</h5>Projects with too few skills may lead to inaccurate or generic matches, lowering project success and efficiency.		project_recommendations	Project Recommendations	Keep as is	Project Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% projects must have ideal candidates	projects_with_ideal_candidates_rule	Project calibration → ideal_candidates	Ensure that each project has at least three candidate assigned to guide high-quality employee recommendations. <br><br><h5> Impact of failure</h5>Without an ideal candidate reference, the system lacks a benchmark for fit, resulting in mismatches and reduced match confidence		project_recommendations	Project Recommendations	Update	Project Recommendations	logic update: Instead of one ideal candidate make it three
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% projects must have location	projects_with_location_rule	Project definition → location	Ensure that each project has a location assigned to support relevant employee recommendations based on geography. <br><br><h5> Impact of failure</h5>Employee-project matches may ignore geographic constraints, leading to impractical or undesirable recommendations.		project_recommendations	Project Recommendations	Keep as is	Project Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% of courses should have skills	courses_with_skills_rule	Course Sync (LMS) → course.skills	Ensure courses have skills present to support accurate course-to-skill matching. <br><br><h5> Impact of failure</h5>. Courses without skill tags can't be effectively matched to employee development needs, reducing recommendation quality.		course_recommendations	Course Recommendations	Keep as is	Course Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% of courses should have relevant (50+ words) description	courses_with_description_rule	Course Sync (LMS) → course.description	Ensure courses have adequate descriptions (minimum 50 words) to make the reccomendation appropriate. <br><br><h5> Impact of failure</h5>. Lack of context about the course due to Incomplete descriptions  or no descriptions decrease the quality of course recommendation 		course_recommendations	Course Recommendations	Keep as is	Course Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% of roles should have their associated levels defined in Internal mobility config	role_levels_in_internal_mobility_config_quality	#N/A	Define levels in internal mobility configuration to establish a clear role hierarchy across the organization. <br><br><h5> Impact of failure</h5>. Without defined levels, the system cannot accurately interpret progression paths or seniority alignment, leading to invalid career path recommendations		career_navigator_recommendations	Career Navigator Recommendations	Keep as is	Career Navigator Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% of roles should have job code	role_job_code_quality	#N/A	Job codes act as unique identifiers to determine distinct roles and associate employees accurately with them. <br><br><h5> Impact of failure</h5>. Missing or inconsistent job codes lead to incorrect role mappings and  invalid career path recommendations		career_navigator_recommendations	Career Navigator Recommendations	Keep as is	Career Navigator Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% of roles should have business function	role_lob_quality	#N/A	Assign business functions to roles to infer domain and improve recommendation relevance in Career Navigator. <br><br><h5> Impact of failure</h5>. Without business function context, the system may misunderstand role intent, affecting domain-specific guidance.		career_navigator_recommendations	Career Navigator Recommendations	Keep as is	Career Navigator Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% of roles should have at least 3 skills	role_skills_quality	#N/A	Skills and benchmarks help define role requirements and power recommendations in key TM modules like Career Navigator. <br><br><h5> Impact of failure</h5>. Poorly defined role requirements hinder accurate skill gap identification and reduce the value of personalized suggestions.		career_navigator_recommendations	Career Navigator Recommendations	Keep as is	Career Navigator Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}%  of claimed employee profiles should have marked as open to mentorship	claimed_employee_profiles_open_to_mentor	career_hub_base_config → mentorship.enabled / Employee profile settings	Ensure a sufficient number of mentors are available to support relevant mentor recommendations for employees. <br><br><h5> Impact of failure</h5>. Too few mentors can limit access and degrade the quality of mentorship matching.		mentor_recommendations	Mentor Recommendations	Keep as is	Mentor Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% mentor profiles must have rich data	mentor_profiles_with_rich_data	#N/A	Ensure mentor profiles have rich data to allow the system to make high-quality mentor recommendations. <br><br><h5> Impact of failure</h5>. Incomplete mentor profiles reduce relevance and engagement in mentorship programs.		mentor_recommendations	Mentor Recommendations	Keep as is	Mentor Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% claimed employee profiles must have skills	claimed_employee_profiles_with_skills	Employee profile → skills	Ensure that claimed employee profiles have skills assigned to enable employees to receive relevant mentor recommendations based on their learning and growth needs. <br><br><h5> Impact of failure</h5>Without skills in employee profiles, the system cannot recommend mentors with the right expertise, reducing the effectiveness and relevance of mentor-mentee matches.		mentor_recommendations	Mentor Recommendations	Keep as is	Mentor Recommendations	
	Security	Do not Publish jobs posted on the sandbox PCS Site to Google/Search Engines	is_pcs_seo_optimization_for_sandbox_true	#N/A	Ensure we prevent candidates from arriving at the sandbox site rather than the production site			Security	New/Add		
	Security	Number of external domains allowed for this instance	num_external_domains	#N/A	This rule checks the external_account_for_group_id config to ensure that the number of external domains for this instance is no more than 20			Security	Keep as is		
	Security	Campaign rate limit	max_campaign_limit	#N/A	This rule checks that the maximum campaign limit is set to under 2000. This is set in campaign_config under the key 'max_per_campaign' -> group_id			Security	Keep as is		
	Security	Email loopback should be disabled for prod instance	email_loopback_prod	#N/A	This rule checks to ensure that email_loopback_gate is disabled for this instance (prod)			Security	Keep as is		
	Security	Email loopback should be enabled for sandbox instance	email_loopback_non_prod	#N/A	This rule checks to ensure that email_loopback_gate is enabled for this instance (non-prod)			Security	Keep as is		
	Security	Account provisioning should be based on Employee Sync.	provision_user_accounts_prod	#N/A	This determines which accounts should have accounts provisioned. Only employees whose data has been synced to Eightfold will have accounts created			Security	New/Add		
	Security	Session timeout	custom_session_timeout_config	#N/A	This determines if the session timeout is less than 24 hours			Security	Keep as is		
	Security	Profile visibility	employee_profile_visibility	#N/A	Check if unclaimed employee profiles can be viewed by other employees and recruiters.			Security	Keep as is		
	Security	Too many Candidate Sync Failures	candidate_sync_failure_rule	#N/A	This rule evaluates the health of candidate syncs by tracking the number of sync failures.			Security	Keep as is		
	Security	Too many Position Sync Failures	position_sync_failure_rule	#N/A	This rule evaluates the health of position syncs by tracking the number of sync failures.			Security	Keep as is		
	Security	Too many Employee Sync Failures	employee_sync_failure_rule	#N/A	The rule "Too many Employee Sync Failures" activates when the total count of failed synchronizations in a single day exceeds the average failed synchronizations over the last seven days by more than one standard deviation. This method uses statistical analysis to pinpoint unusual activity.			Security	Update		
	Security	Too many Rejections in the platform	num_rejections_rule	#N/A	This rule warns if the number of rejections in a single day is unusually high compared to the average over the last seven days, using statistical analysis to detect spikes. This helps identify anomalies that might need investigation.			Security	Update		
	Security	Too many Application Failures	application_failures_rule	#N/A	This rule fails if the total number of application failures in a single day is more than one standard deviation above the average number of failures from the past seven days. This means we use statistics to find unusually high numbers of failures.			Security	Update		
	Security	Too many profiles subject to data retention rules	profile_data_retention_rule	#N/A	This rule identifies when the percentage of profiles flagged for data retention exceeds 10% of the total talent pool. This is calculated by dividing the number of profiles subject to data retention by the total talent pool size. The business logic behind this is that once profiles are purged, proactive checks may not be accurate as any activity on those profiles will reset the counter and prevent their deletion.			Security	Update		
	Security	Too many unsubscribe requests	unsubscribe_requests_volume_rule	#N/A	This rule checks for a high number of unsubscribe requests. We need to clarify what "high" means and if we should also look at why people are unsubscribing, as well as whether the requests are from real people or bots. Also, we need to decide if this rule is still necessary, as unsubscribe requests are often a personal choice and may not impact product security.			Security	Update		
	Security	Emails sent to employees	emails_sent_to_employees	#N/A	This rule needs to be functional. For example, an employee shouldn't receive more than two non-time-sensitive "Skills Update" emails per month. However, this rule should not apply to time-sensitive "Skills Assessment (Self)" requests. This rule is registered as 'emails_sent_to_employees'.			Security	Update		
	Security	Overall email volume	num_emails_rule	#N/A	This rule is for production instances to prevent too many admin accounts. This is important for: 1. Making sure customers can do transactions reliably. 2. Having proper audits for production. 3. Clearly defining who is responsible for what.			Security	Update		
	Security	Admin accounts	num_admin_accounts_rule	#N/A	Check if there are too many admin accounts set up in the instance			Security	Keep as is		
	Security	Data subject requests	data_subject_requests	#N/A	Check if there are too many data subject requests set up in the instance			Security	Update		
	Analytics	More than {{ metric_data_json.min_threshold }}% of employees should have level	employee_level_quality	#N/A	Employee levels are essential for determining employee seniority and for automatically initializing role seniority. This rule ensures that employee level field is not blank		tm_dashboards	TM Analytics	Update		
	Analytics	More than {{ metric_data_json.min_threshold }}% of employees should have location country	employee_location_country_quality	#N/A	This rule ensures that country field is not blank since it is used in analytics dashboards for generating insights and for filtering		tm_dashboards	TM Analytics	Update		
	Analytics	More than {{ metric_data_json.min_threshold }}% of employees should have email	employee_email_quality	#N/A	This rule ensures that email field is not blank for the employees since this field is used as a primary key in some of our datasets		tm_dashboards	TM Analytics	Update		
	Analytics	Discrepancy between count of employees that are alumni and employees with a termination_date must be less than {{ metric_data_json.discrepancy_threshold }}%	employee_is_alumni_and_termination_date_discrepancy_quality	#N/A	This rule ensures that all employees who have left the organisation have a termination date present		tm_dashboards	TM Analytics	Update		
	Analytics	More than {{ metric_data_json.min_threshold }}% of employees should have first name	employee_first_name_quality	#N/A	This rule ensures that first name must be present for employees		tm_dashboards	TM Analytics	Update		
	Analytics	More than {{ metric_data_json.min_threshold }}% of employees should have last name	employee_last_name_quality	#N/A	This rule ensures that last name must be present for employees		tm_dashboards	TM Analytics	Update		
	Analytics	More than {{ metric_data_json.min_threshold }}% of employees should have hiring_date	employee_hiring_date_quality	#N/A	This rule ensures that hiring date field is not blank for employees since it is important for analytics dashboard data accuracy		tm_dashboards	TM Analytics	Keep as is		
	Analytics	More than {{ metric_data_json.min_threshold }}% of employees should have location	employee_location_quality	#N/A	This rule ensures that location field is not blank for most of the employees		tm_dashboards	TM Analytics	Keep as is		
	Analytics	More than {{ metric_data_json.min_threshold }}% of employees should have manager_id	employee_manager_id_quality	#N/A	This rule ensures that manager's user id field is not blank. The manager_userid field is important for the org chart product to work, as the org chart can only be generated if manager ids		tm_dashboards	TM Analytics	Update		
	Analytics	More than {{ metric_data_json.min_threshold }}% of employees should have manager email	employee_manager_email_quality	#N/A	This rule ensures that manager's email field is not blank for employees since this field is used as a filter in some of our datasets		tm_dashboards	TM Analytics	Update		
	Analytics	More than {{ metric_data_json.min_threshold }}% of employees should have lob (Line of Business)	employee_division_quality	#N/A	This rule ensures that the divsiion field is not blank. Division (line of business) is important to understand employee's role and for role auto initialisation to infer role business function		tm_dashboards	TM Analytics	Update		
	Analytics	More than {{ metric_data_json.min_threshold }}% of employees should have internal candidate profile	employee_internal_candidate_id_quality	#N/A	This rule requires that more than a specified percentage of employees (above a set minimum threshold) have an internal candidate profile within the system, ensuring a strong link between each employee record and an internal candidate profile used for talent management activities.		tm_dashboards	TM Analytics	Update		
	Analytics	More than {{ metric_data_json.min_threshold }}% of profiles should have first_name	profile_first_name_quality	#N/A	This rule ensures that first name must be present for candidates to accurately display names on dashboards and throughout our system		ta_dashboards	TA Analytics	Keep as is		
	Analytics	More than {{ metric_data_json.min_threshold }}% of profiles should have last_name	profile_last_name_quality	#N/A	This rule ensures that last name must be present for candidates to accurately display names on dashboards and throughout our system		ta_dashboards	TA Analytics	Keep as is		
	Analytics	Funnel Metric - There must be more applications in 'new_applicant' stagegroup than 'phonescreen' stagegroup	application_funnel_more_new_applicants_than_phonescreen	#N/A	This metric ensures that the count of applications in 'new_applicant' stagegroup is more than application in 'phonescreen' stagegroup so that the funnel integrity is maintained		ta_dashboards	TA Analytics	Keep as is		
	Analytics	Funnel Metric - There must be more applications in 'phonescreen' stagegroup than 'onsite' stagegroup	application_funnel_more_phonescreen_than_onsite	#N/A	This metric ensures that the count of applications in 'phonescreen' stagegroup is more than application in 'onsite' stagegroup so that the funnel integrity is maintained		ta_dashboards	TA Analytics	Keep as is		
	Analytics	Funnel Metric - There must be more applications in 'onsite' stagegroup than 'offer' stagegroup	application_funnel_more_onsite_than_offer	#N/A	This metric ensures that the count of applications in 'onsite' stagegroup is more than application in 'offer' stagegroup so that the funnel integrity is maintained		ta_dashboards	TA Analytics	Keep as is		
	Analytics	Funnel Metric - There must be more applications in 'offer' stagegroup than 'hired' stagegroup	application_funnel_more_offer_than_hired	#N/A	This metric ensures that the count of applications in 'offer' stagegroup is more than application in 'hired' stagegroup so that the funnel integrity is maintained		ta_dashboards	TA Analytics	Keep as is		
	Analytics	More than {{ metric_data_json.min_threshold }}% of applications should have source_type	application_source_type_quality	#N/A	This metric ensures that applications must have source_type. This is critical to identify where the application was created from.		ta_dashboards	TA Analytics	Keep as is		
	Analytics	More than {{ metric_data_json.min_threshold }}% of applications must be in offer stage group	application_offer_stage_group_quality	#N/A	This metric ensures that some applications must be present in offer stage group. In case this metric fails, please check the stages the applications are in, and make sure there are stages in the stagemap mapped to 'offer' stage		ta_dashboards	TA Analytics	Keep as is		
	Analytics	More than {{ metric_data_json.min_threshold }}% of applications must be in phonescreen stage group	phonescreen_stage_group_quality	#N/A	This metric ensures that some applications must be present in phonescreen stage group. In case this metric fails, please check the stages the applications are in, and make sure there are stages in the stagemap mapped to 'phonescreen' stage		ta_dashboards	TA Analytics	Delete		
	Analytics	More than {{ metric_data_json.min_threshold }}% of applications must be in new_applicant stage group	application_new_applicant_stage_group_quality	#N/A	This metric ensures that some applications must be present in new applicant stage group. In case this metric fails, please check the stages the applications are in, and make sure there are stages in the stagemap mapped to 'new applicant' stage		ta_dashboards	TA Analytics	Delete		
	Analytics	More than {{ metric_data_json.min_threshold }}% of applications must be in an onsite/interview stage group	application_onsite_or_interview_stage_group_quality	#N/A	This metric ensures that some applications must be present in onsite stage group. In case this metric fails, please check the stages the applications are in, and make sure there are stages in the stagemap mapped to 'onsite' stage		ta_dashboards	TA Analytics	Keep as is		
	Analytics	More than {{ metric_data_json.min_threshold }}% of applications must be in hired stage group	application_hired_stage_group_quality	#N/A	This metric ensures that some applications must be present in hired stage group. In case this metric fails, please check the stages the applications are in, and make sure there are stages in the stagemap mapped to 'hired' stage		ta_dashboards	TA Analytics	Keep as is		
	Analytics	More than {{ metric_data_json.min_threshold }}% of positions should have status	position_status_data_quality	#N/A	This metric ensures that status must be present for positions. This is important for analytics and is also used in the positions page		ta_dashboards	TA Analytics	Keep as is		
	Analytics	More than {{ metric_data_json.min_threshold }}% of positions should have location_country	position_location_country_quality	#N/A	This metric ensures that location_country must be present for positions. This is important for analytics and is generally used while evaluating important metrics like time to fill, time to hire etc		ta_dashboards	TA Analytics	Update		
	Analytics	More than {{ metric_data_json.min_threshold }}% of positions should have hiring manager name	position_hiring_manager_name_data_quality	#N/A	This metric ensures that HM name must be present for positions. This is important for analytics since this field is used as a filter in some of our dashboards		ta_dashboards	TA Analytics	Update		
	Analytics	More than {{ metric_data_json.min_threshold }}% of positions should have title	position_title_data_quality	#N/A	This metric ensures that title must be present for positions. This is important for analytics dashboards and is also used in the positions page		ta_dashboards	TA Analytics	Update		
	Analytics	More than {{ metric_data_json.min_threshold }}% of positions should have business_unit	position_business_unit_data_quality	#N/A	This metric ensures that business_unit must be present for positions. This is important for analytics and is generally used while evaluating customer usage and success metrics		ta_dashboards	TA Analytics	Update		
	Analytics	Hired stage group mapping should be set up in stagemap	stagemap_hired	#N/A	This metric ensures that stages must be mapped to the hired stage group. In case this metric fails, make sure there are stages in the ATS config stagemap mapped to 'hired' stage		ta_dashboards	TA Analytics	Delete		
